#Requirements,depth,IDs,Countertraces,Exit Conditions
2,0,"ELS-2_2_0
ELS-4_0_0","True;⌈(((pitmanArmUpDown = 1) & (! hazardWarningSwitchOn)) & (! (blinkingMode = 3)))⌉;⌈(! (blinkingMode = 3))⌉ ∧ ℓ > 1.0;True
True;⌈(pitmanArmUpDown = 1)⌉ ∧ ℓ ≥ 1/2;⌈(! (blinkingMode = 1))⌉;True","(blinkingMode = 3)
(blinkingMode = 1)"
2,0,"ELS-3_0_0
ELS-4_0_0","True;⌈(hazardWarningSwitchOn & (! ((blinkingMode = 5) & tipBlinkingCycleStop)))⌉;⌈(! ((blinkingMode = 5) & tipBlinkingCycleStop))⌉ ∧ ℓ > 1.0;True
True;⌈(pitmanArmUpDown = 1)⌉ ∧ ℓ ≥ 1/2;⌈(! (blinkingMode = 1))⌉;True","((blinkingMode = 5) & tipBlinkingCycleStop)
(blinkingMode = 1)"
2,0,"ELS-4_0_0
ELS-8_0_0","True;⌈(pitmanArmUpDown = 1)⌉ ∧ ℓ ≥ 1/2;⌈(! (blinkingMode = 1))⌉;True
True;⌈(hazardWarningSwitchOn & (! (blinkingMode = 5)))⌉;⌈(! (blinkingMode = 5))⌉ ∧ ℓ > 1.0;True","(blinkingMode = 1)
(blinkingMode = 5)"
2,0,"ELS-14_0_0
ELS-28_2_0","True;⌈(((keyState = 2) & ((lightRotarySwitch = 2) & (! overvoltage))) & (! ((lowBeamLeft = 100) & (lowBeamRight = 100))))⌉;⌈(! ((lowBeamLeft = 100) & (lowBeamRight = 100)))⌉ ∧ ℓ > 1.0;True
True;⌈((parkingLight & (pitmanArmUpDown = 4)) & (! ((lowBeamRight = 10) & (tailLampRight = 10))))⌉;⌈(! ((lowBeamRight = 10) & (tailLampRight = 10)))⌉ ∧ ℓ > 1.0;True","((lowBeamLeft = 100) & (lowBeamRight = 100))
((lowBeamRight = 10) & (tailLampRight = 10))"
2,0,"ELS-15_0_0
ELS-28_2_0","True;⌈(((keyState = 1) & ((lightRotarySwitch = 2) & ((! ambientLightSwitchOn) & SomeRandomVariable))) & (! ((lowBeamLeft = 50) & (lowBeamRight = 50))))⌉;⌈(! ((lowBeamLeft = 50) & (lowBeamRight = 50)))⌉ ∧ ℓ > 1.0;True
True;⌈((parkingLight & (pitmanArmUpDown = 4)) & (! ((lowBeamRight = 10) & (tailLampRight = 10))))⌉;⌈(! ((lowBeamRight = 10) & (tailLampRight = 10)))⌉ ∧ ℓ > 1.0;True","((lowBeamLeft = 50) & (lowBeamRight = 50))
((lowBeamRight = 10) & (tailLampRight = 10))"
2,0,"ELS-16_0_0
ELS-28_2_0","True;⌈(((! (keyState = 2)) & ((lightRotarySwitch = 1) & ((! ambientLightSwitchOn) & (! overvoltage)))) & (! ((lowBeamLeft = 0) & (lowBeamRight = 0))))⌉;⌈(! ((lowBeamLeft = 0) & (lowBeamRight = 0)))⌉ ∧ ℓ > 1.0;True
True;⌈((parkingLight & (pitmanArmUpDown = 4)) & (! ((lowBeamRight = 10) & (tailLampRight = 10))))⌉;⌈(! ((lowBeamRight = 10) & (tailLampRight = 10)))⌉ ∧ ℓ > 1.0;True","((lowBeamLeft = 0) & (lowBeamRight = 0))
((lowBeamRight = 10) & (tailLampRight = 10))"
2,0,"ELS-18_0_0
ELS-28_2_0","True;⌈(! ((lightRotarySwitch = 1) & ((keyState = 2) & ((0 < lowBeamLeft) & (0 < lowBeamRight)))))⌉;⌈((lightRotarySwitch = 1) & ((keyState = 2) & ((0 < lowBeamLeft) & (0 < lowBeamRight))))⌉;⌈((100 <= lowBeamLeft) & (100 <= lowBeamRight))⌉ ∧ ℓ < 3.0;⌈(! ((100 <= lowBeamLeft) & (100 <= lowBeamRight)))⌉;True
True;⌈((parkingLight & (pitmanArmUpDown = 4)) & (! ((lowBeamRight = 10) & (tailLampRight = 10))))⌉;⌈(! ((lowBeamRight = 10) & (tailLampRight = 10)))⌉ ∧ ℓ > 1.0;True","((100 <= lowBeamLeft) & (100 <= lowBeamRight))
((lowBeamRight = 10) & (tailLampRight = 10))"
2,0,"ELS-14_0_0
ELS-28_1_0","True;⌈(((keyState = 2) & ((lightRotarySwitch = 2) & (! overvoltage))) & (! ((lowBeamLeft = 100) & (lowBeamRight = 100))))⌉;⌈(! ((lowBeamLeft = 100) & (lowBeamRight = 100)))⌉ ∧ ℓ > 1.0;True
True;⌈((parkingLight & (pitmanArmUpDown = 2)) & (! ((lowBeamLeft = 10) & (tailLampLeft = 10))))⌉;⌈(! ((lowBeamLeft = 10) & (tailLampLeft = 10)))⌉ ∧ ℓ > 1.0;True","((lowBeamLeft = 100) & (lowBeamRight = 100))
((lowBeamLeft = 10) & (tailLampLeft = 10))"
2,0,"ELS-15_0_0
ELS-18_0_0","True;⌈(((keyState = 1) & ((lightRotarySwitch = 2) & ((! ambientLightSwitchOn) & SomeRandomVariable))) & (! ((lowBeamLeft = 50) & (lowBeamRight = 50))))⌉;⌈(! ((lowBeamLeft = 50) & (lowBeamRight = 50)))⌉ ∧ ℓ > 1.0;True
True;⌈(! ((lightRotarySwitch = 1) & ((keyState = 2) & ((0 < lowBeamLeft) & (0 < lowBeamRight)))))⌉;⌈((lightRotarySwitch = 1) & ((keyState = 2) & ((0 < lowBeamLeft) & (0 < lowBeamRight))))⌉;⌈((100 <= lowBeamLeft) & (100 <= lowBeamRight))⌉ ∧ ℓ < 3.0;⌈(! ((100 <= lowBeamLeft) & (100 <= lowBeamRight)))⌉;True","((lowBeamLeft = 50) & (lowBeamRight = 50))
((100 <= lowBeamLeft) & (100 <= lowBeamRight))"
2,0,"ELS-15_0_0
ELS-28_1_0","True;⌈(((keyState = 1) & ((lightRotarySwitch = 2) & ((! ambientLightSwitchOn) & SomeRandomVariable))) & (! ((lowBeamLeft = 50) & (lowBeamRight = 50))))⌉;⌈(! ((lowBeamLeft = 50) & (lowBeamRight = 50)))⌉ ∧ ℓ > 1.0;True
True;⌈((parkingLight & (pitmanArmUpDown = 2)) & (! ((lowBeamLeft = 10) & (tailLampLeft = 10))))⌉;⌈(! ((lowBeamLeft = 10) & (tailLampLeft = 10)))⌉ ∧ ℓ > 1.0;True","((lowBeamLeft = 50) & (lowBeamRight = 50))
((lowBeamLeft = 10) & (tailLampLeft = 10))"
